Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short desBWiption,DesBWiption,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,BWoss-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
simple,BW-1003011,Camino Winds,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1,7,5,1,1,,12.99,17.99,"Mystery, Thriller & Suspense",,,"https://images-na.ssl-images-amazon.com/images/I/51JmMAj8DTL._SX329_BO1,204,203,200_.jpg",,,,,,,,,0,Author ,John Grisham,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003012,Jesus: The God Who Knows Your Name,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.8,6,5,1,1,,,16.59,Christian Books & Bibles > Christian Living,,,"https://images-na.ssl-images-amazon.com/images/I/41YD4nkIqvL._SX325_BO1,204,203,200_.jpg",,,,,,,,,0,Author ,Max Lucado,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003013,The Cinderella Reversal,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,1,,,3.99,Romance,,,https://images-na.ssl-images-amazon.com/images/I/51aCuJBJhHL.jpg,1,1,,,,,,,0,Author ,Anna Banks,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003014,Eternity Springs: The McBrides of Texas Ever :Tucker,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,1,,,6.99,Romance > Contemporary,,,https://images-na.ssl-images-amazon.com/images/I/51yxyi4FQ7L.jpg,1,1,,,,,,,0,Author ,Emily March,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003015,Scot Under the Covers: The Wild Wicked Highlanders,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,3.99,Romance > Historical,,,"https://images-na.ssl-images-amazon.com/images/I/51Qs0av7xSL._SX304_BO1,204,203,200_.jpg",,,,,,,,,0,Author ,Suzanne Enoch,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003016,Call Me by Your Name,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,16.99,18.99,Literature & Fiction,,,https://images-na.ssl-images-amazon.com/images/I/41AjwKSjRML.jpg,,,,,,,,,0,Author ,Andre Aciman,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003017,Verity,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,4.99,"Mystery, Thriller & Suspense",,,"https://images-na.ssl-images-amazon.com/images/I/41TCnCdK0CL._SX322_BO1,204,203,200_.jpg",,,,,,,,,0,Author ,Colleen Hoover,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003018,"Dark in Death: An Eve Dallas Novel (In Death, Book 46)",1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,14.2,"Mystery, Thriller & Suspense",,,"https://images-na.ssl-images-amazon.com/images/I/51cNYlX3nNL._SX327_BO1,204,203,200_.jpg",,,,,,,,,1,Author ,J. D. Robb,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003019,Under a Firefly Moon (Firefly Lake Book 1),1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,7.67,Literature & Fiction > Genre Fiction,,,https://images-na.ssl-images-amazon.com/images/I/51nK9SxaNhL.jpg,,,,,,,,,2,Author ,Donna Kauffman,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003020,Man's Search for Meaning,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,9.99,History > World,,,"https://images-na.ssl-images-amazon.com/images/I/41nLuZrSbNL._SX322_BO1,204,203,200_.jpg",,,,,,,,,3,Author ,Viktor E. Frankl,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003021,Zombie Theorem: Dark Times Book Five,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,2.68,"Mystery, Thriller & Suspense",,,https://images-na.ssl-images-amazon.com/images/I/517jzxEG4fL.jpg,,,,,,,,,,Author ,James Wallace,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003022,"Nala's World: One Man, His Rescue Cat, and a Bike Ride around the Globe",1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,24.3,"Reference > Writing, Research & Publishing Guides",,,https://images-na.ssl-images-amazon.com/images/I/51DHpg3URWL.jpg,,,,,,,,,,Author ,Dean Nicholson,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003023,The Impossible First: From Fire to Ice―BWossing Antarctica Alone,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,12.99,16.68,Sports & Outdoors,,,https://images-na.ssl-images-amazon.com/images/I/41G%2BA4hxMmL.jpg,,,,,,,,,,Author ,Colin O'Brady,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003024,Red Mountain: A Novel (Red Mountain Chronicles Book 1),1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,4.99,Literature & Fiction > Genre Fiction,,,https://images-na.ssl-images-amazon.com/images/I/510T1vBNc-L.jpg,,,,,,,,,,Author ,Boo Walker,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003025,Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,17.55,Business & Money,,,https://images-na.ssl-images-amazon.com/images/I/5179mrE%2BWWL.jpg,,,,,,,,,,Author ,Ashlee Vance,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003026,Bossypants,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,12.9,Humor & Entertainment›Television,,,https://images-na.ssl-images-amazon.com/images/I/5145lEMl8pL.jpg,,,,,,,,,,Author ,Tina Fey,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003027,"Russians Among Us: Sleeper Cells, Ghost Stories, and the Hunt for Putin's Spies",1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,9.65,Politics & Social Sciences >Politics & Government >Specific Topics > Intelligence & Espionage,,,https://images-na.ssl-images-amazon.com/images/I/51e6-K5MC-L._SY346_.jpg,,,,,,,,,,Author ,Gordon Corera,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003028,"The Rural Diaries: Love, Livestock, and Big Life Lessons Down on Mischief Farm",1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,14.82,"BWafts, Hobbies & Home > Home Improvement & Design",,,"https://images-na.ssl-images-amazon.com/images/I/51%2BxJNjkn1L._SX331_BO1,204,203,200_.jpg",,,,,,,,,,Author ,Hilarie Burton ,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003029,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,14.99,Humor & Entertainment >Movies,,,"https://images-na.ssl-images-amazon.com/images/I/41FTzLPRt2L._SX329_BO1,204,203,200_.jpg",,,,,,,,,,Author ,Robert Iger,1,1,Format,Paperback,1,1,1,,,,
simple,BW-1003030,The Stellenbosch Mafia: Inside the Billionaire’s Club,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,12.68,Politics & Social Sciences,,,https://images-na.ssl-images-amazon.com/images/I/410CJp-B28L.jpg,,,,,,,,,,Author ,Pieter du Toit,1,1,Format,Kindle,1,1,1,,,,
simple,BW-1003031,The Lost Colony (The Long Winter Trilogy Book 3),1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,19.99,27.99,"Mystery, Thriller & Suspense",,,"https://images-na.ssl-images-amazon.com/images/I/51qjzU9HkPL._SX328_BO1,204,203,200_.jpg",,,,,,,,,,Author ,A G Riddle,1,1,Format,Hardcover,1,1,1,,,,
simple,BW-1003032,"Ask Again, Yes: A Novel",1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. BWas placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,,,1,,0,0,,,,,0,,,11.51,Literature & Fiction > Genre Fiction,,,https://images-na.ssl-images-amazon.com/images/I/61II0mcMJLL.jpg,,,,,,,,,,Author ,Mary Beth Keane,1,1,Format,Paperback,1,1,1,,,,
